Product_Input,Cheapest_Original_Material,Original_Price_USD,EISc_Original_Score,Sustainable_Alternative,Alternative_Price_USD,EISc_Alternative_Score
Tool Handle,Methyl Cellulose,4.03,7,Natural Thickeners,4.05,2
Electronic Housing,Radioactive Materials,3.21,10,Non-radioactive Alternatives,3.15,4
Electronic Housing,Ethylene Vinyl Acetate (EVA),3.15,8, Recycled EVA,3.12,3
Tool Handle,Nitrocellulose,1.98,8,Natural Film Formers,2.0,3
Electronic Housing,Rock Wool,4.69,8,Hemp Wool Insulation,4.64,3
Sponge,Ethyl Cellulose,0.67,7,Plant-based Cellulose,0.69,2
General Appliance Part,Methylene Chloride,0.6,9,Water-based Strippers,0.6,3
Packaging Box,Polyvinyl Chloride Flooring,1.02,9,Cork or Bamboo Flooring,1.01,3
CDs/DVDs,Polycarbonate,1.65,9,Glass or Tritan Copolyester,1.68,4
General Appliance Part,Mirex,9.35,10,Organic Pest Control,9.59,2
Automotive Component,Coffee Ground Composites,1.28,5,Recycled Coffee Biocomposites,1.24,2
General Appliance Part,Polyphenylene Oxide,0.32,8,Bio-based Polyphenylene Oxide,0.32,3
Water Pipe,PVC,8.01,8,Recycled Wood or Bamboo,8.03,3
Adhesive,Polylactic Acid,1.33,5,Biodegradable Paper,1.32,2
Electronic Housing,Non-Woven Polypropylene,1.11,8,Organic Cotton Fabric,1.09,2
General Appliance Part,Bamboo Paper,6.11,8, Recycled Paper,6.23,3
Automotive Component,Polyvinyl Chloride Flooring,5.87,9,Cork or Bamboo Flooring,5.85,3
General Appliance Part,Asphalt Shingles,1.36,8,Recycled Metal Shingles,1.35,3
Automotive Component,Compostable Utensils,9.17,8,Bamboo or Palm Leaf Utensils,9.14,3
Packaging Box,Polyisobutylene,7.64,8,Natural Rubber Alternatives,7.77,3
Soda Bottle,PET Bottles,4.56,9,Biodegradable Water Bottles,4.58,3
Credit Card,PVC,7.12,8,Recycled Wood or Bamboo,6.92,3
Sportswear,Polyester Film,4.91,7,Cornstarch-based Film,4.94,2
Electronic Housing,Recycled Aluminum Foil,2.59,8,Reusable Beeswax Wrap,2.51,2
Packaging Box,Toxaphene,7.92,10,Botanical Pesticides,7.79,2
Toothbrush Bristles,Nylon,6.02,7,Organic Cotton or Recycled Nylon,5.91,3
Pen,Plastic Beads,6.99,8,Glass or Wooden Beads,6.94,3
Packaging Box,Toxaphene,9.3,10,Botanical Pesticides,9.08,2
Electronic Housing,Natural Stone,5.03,7, Recycled Stone,4.99,3
General Appliance Part,Polyphenylene Sulfide,3.71,9,Bio-based Sulfides,3.8,4
General Appliance Part,Sisal,8.95,8,Hemp or Bamboo Fiber,9.17,3
Packaging Box,Aluminum Foil,1.98,8,Reusable Beeswax Wrap,1.99,2
Power Tool Housing,ABS,1.87,8,Recycled ABS or Wood-based Composites,1.92,3
Automotive Component,Foam Packing Peanuts,9.41,9,Cornstarch Packing Peanuts,9.14,2
Pen,Coconut Oil-based Bioplastic,6.85,8, Compostable Plastic,7.05,3
General Appliance Part,Sisal,6.42,8,Hemp or Bamboo Fiber,6.23,3
Blister Packaging,PETG Bottles,2.22,8,PLA or Glass Bottles,2.25,3
Electronic Housing,Methyl Methacrylate,4.61,8,Natural Acrylates,4.71,3
Automotive Component,Recycled Aluminum Cans,3.64,8,Recycled Aluminum,3.55,3
Packaging Box,Ethylene Vinyl Acetate (EVA),4.59,8, Recycled EVA,4.68,3
General Appliance Part,Polyvinyl Alcohol (PVA),8.47,8, Biodegradable PVA,8.66,3
Storage Container,Polystyrene (Plastic),8.37,9,Bamboo or Compostable PLA,8.41,3
Storage Container,Plastic Bags,0.62,9,Reusable Cloth Bags,0.6,2
Lip Balm,Synthetic Wax,8.36,8,Beeswax or Soy Wax,8.37,3
Disposable Cutlery,Corn Plastic,8.56,7,Compostable Corn Plastic,8.77,2
Electronic Housing,Polyphenylene Sulfide,2.94,9,Bio-based Sulfides,2.94,4
Electronic Housing,Algae Oil,9.45,8,Plant-based Oil,9.39,3
Upholstery,Natural Fiberboard,8.58,8, Recycled Wood Fiberboard,8.72,3
Disposable Cutlery,Bio-based Bioplastic,0.75,8, Plant-based Bioplastics,0.75,3
General Appliance Part,Laminated Wood,8.6,8,Recycled Wood,8.47,3
Electronic Housing,Traditional Nail Polish,5.67,8,Water-based Nail Polish,5.77,3
Electronic Housing,Bisphenol-A,9.84,9,Plant-based Phenols,9.66,3
Packaging Box,Asphalt Shingles,4.19,8,Recycled Metal Shingles,4.1,3
Packaging Box,Recycled Aluminum Foil,4.55,8,Reusable Beeswax Wrap,4.41,2
Electronic Housing,Polyvinyl Acetate,4.16,8,Plant-based Glue,4.22,3
Upholstery,Nettle Fiber,4.71,5,Wild Plant Fiber,4.66,2
General Appliance Part,Arsenic Compounds,1.42,10,Natural Preservatives,1.41,3
Adhesive,Plant-based Resin,1.61,8, Bio-based Resin,1.6,3
Packaging Box,Polyvinyl Butyral,4.44,8, Biodegradable PVB,4.48,3
Automotive Component,Paper Packaging,4.99,8, Biodegradable Paper Packaging,5.07,3
General Appliance Part,Ethylene Vinyl Acetate (EVA),0.94,8, Recycled EVA,0.95,3
Belt,Recycled Leather,2.96,9, Vegan Leather,2.97,3
Electronic Housing,FSC-Certified Wood,7.92,8, Sustainable Wood,7.97,3
Electronic Housing,Recycled Glass,4.03,9,Recycled Glass or Bio-based Glass,4.1,3
Shoe Sole,Silicone Rubber,0.16,6, Natural Latex or Biodegradable Silicone,0.16,3
Shoes,Cork Leather,8.3,7,Tree Bark Leather,8.08,3
Handbag,Cactus Leather,9.38,7,Desert Plant Leather,9.35,2
General Appliance Part,Heptachlor,0.07,10,Plant-based Pesticides,0.07,2
Automotive Component,Alkylphenols,6.06,9,Natural Surfactants,6.08,3
Automotive Component,Teak Wood,9.1,9,Bamboo Composites,8.88,3
Toy,Milk Protein Plastics,6.84,8,Plant-based Plastics,6.8,3
Electronic Housing,Polypropylene Rope,3.05,8,Bamboo or Hemp Rope,3.14,3
General Appliance Part,Conventional Soil Pots,7.78,7,Biodegradable Peat Pots,7.59,2
General Appliance Part,Acrylamide,9.93,9,Natural Polymers,10.13,3
Raincoat,PVC Foam,8.88,8,Recycled Plastic Foam,8.65,3
Insulation Panel,Thermoplastic Polyurethane,2.94,8,Biodegradable TPU,2.88,3
General Appliance Part,Cork,2.77,8,Recycled Cork,2.8,3
Pot Handle,Bakelite,0.06,9,Wood-based Composites,0.06,4
Storage Container,Recycled Plastic,3.27,9,Plant-based Plastic,3.25,3
Electronic Housing,Polyacrylate,3.46,8,Biodegradable Polyacrylate,3.43,3
Pen,Coconut Oil-based Bioplastic,8.83,8, Compostable Plastic,8.6,3
Packaging Box,Asbestos Cement,4.63,10,Fiber-reinforced Cement,4.64,3
General Appliance Part,Sisal,0.9,8, Hemp or Bamboo Fiber,0.93,3
Shampoo Bottle,Polyethylene (Plastic),0.59,9,Jute or Cotton,0.58,2
Molded Part,Polylactic Acid Film,3.36,8,Biodegradable Film,3.29,3
General Appliance Part,Vinyl Acetate,7.69,8,Natural Acetylation,7.91,3
Electronic Housing,Polyvinyl Butyral,6.84,8, Biodegradable PVB,6.97,3
General Appliance Part,Creosote,7.43,9,Natural Wood Preservatives,7.47,3
